iter	Logloss
0	0.6913957893
1	0.6896319954
2	0.6887605342
3	0.6874301491
4	0.6857760256
5	0.6843046612
6	0.6828115109
7	0.6811910963
8	0.6796761373
9	0.6778100143
10	0.6763246723
11	0.6752082759
12	0.6737402575
13	0.6723495585
14	0.6714967704
15	0.6699364638
16	0.6680022128
17	0.6663399667
18	0.6646367268
19	0.6638020144
20	0.6624169041
21	0.6610448576
22	0.6597850188
23	0.6584321057
24	0.6576769439
25	0.656236306
26	0.6550182832
27	0.6534720034
28	0.6521038882
29	0.6509010511
30	0.6498867481
31	0.6483407657
32	0.6473096649
33	0.6460886882
34	0.6449448821
35	0.6437419613
36	0.6426916614
37	0.6415037066
38	0.6403080063
39	0.6394120396
40	0.638198812
41	0.6375854271
42	0.6361759455
43	0.6356168349
44	0.6345263324
45	0.6332310896
46	0.6318568528
47	0.6305256396
48	0.6296927797
49	0.6284110405
50	0.6275811952
51	0.6264039338
52	0.6254676696
53	0.6248965077
54	0.6237134353
55	0.6225477588
56	0.6215433555
57	0.6205521262
58	0.6192862495
59	0.6186193772
60	0.6174675709
61	0.6166637542
62	0.6153049734
63	0.6143402379
64	0.6130381145
65	0.6117247087
66	0.6105170204
67	0.6094493453
68	0.6089761636
69	0.6080992872
70	0.6067686186
71	0.6059605402
72	0.6056399816
73	0.6051921002
74	0.604624243
75	0.6032067994
76	0.602032059
77	0.6010685111
78	0.6005403053
79	0.5994954402
80	0.5990534944
81	0.5979272754
82	0.597094753
83	0.5963596614
84	0.595491197
85	0.5950004994
86	0.5943954153
87	0.593477728
88	0.592634118
89	0.591508355
90	0.5906401699
91	0.589677269
92	0.5887727092
93	0.5878653239
94	0.5872796751
95	0.5861502798
96	0.5853549656
97	0.5847024927
98	0.5839052973
99	0.5831775762
100	0.5822309532
101	0.5811511457
102	0.5804831361
103	0.579740597
104	0.5790256527
105	0.5786756397
106	0.5784361825
107	0.5778481498
108	0.5771205964
109	0.5768028908
110	0.5762680463
111	0.575386816
112	0.5747757735
113	0.5740426959
114	0.5734524747
115	0.5727430075
116	0.571842903
117	0.5710356939
118	0.5703619786
119	0.5695393549
120	0.5685989332
121	0.5679430543
122	0.5669963314
123	0.5661467116
124	0.5653312624
125	0.5648162533
126	0.5642207725
127	0.5632993859
128	0.5625113952
129	0.5614564203
130	0.560507055
131	0.5598431435
132	0.5592292644
133	0.5585888872
134	0.5580921887
135	0.5580226091
136	0.5572457714
137	0.5563206716
138	0.5555822449
139	0.554942796
140	0.5544373332
141	0.5542628662
142	0.5534077801
143	0.5527753597
144	0.5522139102
145	0.5514476469
146	0.5505350487
147	0.5498942767
148	0.5494115497
149	0.5487326123
150	0.5481910731
151	0.5474399037
152	0.5467327286
153	0.5462788621
154	0.5454804876
155	0.5448672308
156	0.5442306054
157	0.5436719584
158	0.5431133143
159	0.5424824515
160	0.5419938819
161	0.5416419638
162	0.5410299914
163	0.5405939565
164	0.5402341869
165	0.539715322
166	0.5390818231
167	0.538482288
168	0.5378764712
169	0.5373862014
170	0.5367692539
171	0.536201342
172	0.5357323663
173	0.534918282
174	0.5347759598
175	0.5342978919
176	0.533591287
177	0.5331074041
178	0.5323464102
179	0.5321448203
180	0.5316423479
181	0.5310691865
182	0.5302564823
183	0.5296909772
184	0.5290831307
185	0.528563395
186	0.5278072568
187	0.5271404803
188	0.526722432
189	0.5261308399
190	0.5257658137
191	0.525521551
192	0.5253590697
193	0.5249564778
194	0.5242261548
195	0.5237237078
196	0.5230580006
197	0.5227932978
