,loan_id,loan_amount,loan_duration,installment_amount,fund_transfer_ts,application_id
53,2005020678929.0,9600000.0,5.0,2496000.0,2021-03-04 14:31:41.110912+00:00,2004026068444.0
54,2005020841348.0,300000.0,3.0,121000.0,2021-06-21 00:12:32.738089+00:00,2004026757651.0
55,2005020715768.0,500000.0,4.0,155000.0,2021-04-09 06:15:17.109222+00:00,2004026187492.0
56,,500000.0,3.0,196000.0,2021-03-02 07:08:12.267897+00:00,2004026043267.0
57,2005020697649.0,1000000.0,3.0,393000.0,2021-03-23 07:13:37.833094+00:00,2004026110503.0
58,2005020848040.0,300000.0,3.0,115000.0,2021-06-24 00:26:52.718715+00:00,2004025774535.0
59,2005020677029.0,5000000.0,6.0,1133000.0,2021-03-02 07:53:08.075125+00:00,2004026057065.0
60,2005021357195.0,1000000.0,5.0,280000.0,2021-10-31 02:46:57.970323+00:00,2004026705985.0
61,2005021782156.0,500000.0,4.0,155000.0,2022-01-01 06:36:55.603701+00:00,2004027566954.0
62,2005020708005.0,105860.0,1.0,110658.0,2021-04-01 06:00:11.427513+00:00,2004026020036.0
63,2005020718203.0,1000000.0,,161000.0,2021-04-11 07:10:24.677664+00:00,2004026020036.0
64,2005020685798.0,2000000.0,4.0,640000.0,2021-03-12 04:48:05.981259+00:00,2004026126301.0
65,2005021038710.0,300000.0,2.0,174000.0,2021-08-28 07:39:25.924204+00:00,2004026860219.0
66,2005021167939.0,25874.0,1.0,27745.0,2021-09-29 15:29:31.010935+00:00,2004026441345.0
67,2005020982121.0,54211.0,1.0,59650.0,2021-08-15 04:36:05.499073+00:00,2004026795874.0
68,2005020679437.0,1500000.0,3.0,590000.0,2021-03-04 16:16:33.501041+00:00,2004025974960.0
69,2005020842786.0,31042.0,1.0,32707.0,2021-06-21 09:06:23.292888+00:00,2004026843724.0
70,2005021489555.0,322581.0,3.0,126000.0,2021-11-16 14:53:23.019881+00:00,2004025631947.0
71,2005021118197.0,3000000.0,6.0,680000.0,2021-09-17 12:45:55.545544+00:00,2004026110819.0
72,2005020691004.0,400000.0,3.0,153000.0,2021-03-17 06:14:34.380182+00:00,2004025631947.0
73,,1000000.0,4.0,300000.0,2021-03-05 09:11:42.688682+00:00,
74,2005020661890.0,300000.0,3.0,118000.0,2021-02-13 04:25:54.403687+00:00,2004025736661.0
75,2005021528620.0,53211.0,1.0,53743.0,2021-11-22 19:47:16.965149+00:00,2004026472160.0
76,2005021090888.0,211579.0,3.0,81000.0,2021-09-11 00:34:51.024940+00:00,2004027443741.0
77,2005020695544.0,2000000.0,4.0,620000.0,2021-03-23 08:18:39.398726+00:00,2004026111896.0
78,2005020715429.0,800000.0,6.0,181000.0,2021-04-09 02:59:14.690169+00:00,2004025653324.0
79,2005020984836.0,600000.0,6.0,136000.0,2021-08-16 00:11:09.144751+00:00,2004025653324.0
80,2005020999512.0,400000.0,6.0,90000.0,2021-08-19 00:57:12.652421+00:00,2004025653324.0
81,2005020727591.0,59768.0,1.0,64250.0,2021-04-18 11:47:49.456844+00:00,2004026348762.0
82,2005021503038.0,1000000.0,9.0,171000.0,2021-11-18 12:30:15.835437+00:00,2004027400828.0
83,2005020836473.0,53000.0,1.0,58441.0,2021-06-18 10:44:54.540617+00:00,2004025892645.0
84,2005020691035.0,5000000.0,,1133000.0,2021-03-17 06:48:46.303502+00:00,2004026147446.0
85,2005020888727.0,208895.0,2.0,116000.0,2021-07-10 08:35:03.546941+00:00,2004026357385.0
86,2005020729832.0,106421.0,3.0,42000.0,2021-04-20 07:13:52.393914+00:00,2004025866071.0
87,2005020889627.0,21579.0,1.0,22686.0,2021-07-10 15:04:34.872142+00:00,2004025830701.0
88,2005020904270.0,51842.0,1.0,54019.0,2021-07-15 08:29:48.847688+00:00,2004027000970.0
89,2005020809695.0,1000000.0,5.0,280000.0,2021-06-07 04:00:55.544673+00:00,2004026705985.0
90,2005021800692.0,11474.0,1.0,12085.0,2022-01-04 01:59:18.289699+00:00,2004027031670.0
91,2005020697493.0,500000.0,4.0,155000.0,2021-03-23 05:43:37.671774+00:00,2004025921697.0
92,2005021187619.0,527474.0,5.0,126000.0,2021-10-02 15:56:10.856509+00:00,2004026083306.0
93,2005020655415.0,500000.0,5.0,140000.0,2021-02-06 01:35:27.565004+00:00,2004025871472.0
94,2005020700637.0,300000.0,2.0,171000.0,2021-03-26 00:10:43.759041+00:00,2004026195451.0
95,2005020932944.0,1000000.0,3.0,383000.0,,2004025774535.0
96,2005020889453.0,53211.0,1.0,55782.0,2021-07-10 13:22:03.981864+00:00,2004026472160.0
97,2005020731911.0,300000.0,3.0,118000.0,2021-04-22 00:12:40.221469+00:00,2004025774535.0
98,2005021384462.0,2500000.0,9.0,402000.0,2021-11-04 02:50:49.509377+00:00,2004026086034.0
99,2005020709767.0,2000000.0,5.0,520000.0,2021-04-03 11:21:19.872701+00:00,2004026187492.0
100,2005020668705.0,500000.0,3.0,206000.0,2021-02-21 06:49:35.058467+00:00,2004025877603.0
101,2005020668885.0,1500000.0,4.0,465000.0,2021-02-21 10:54:52.508193+00:00,2004025963111.0
102,2005020661755.0,2500000.0,6.0,566000.0,2021-02-13 02:25:22.981738+00:00,2004025926702.0
103,2005020756978.0,32526.0,1.0,34878.0,2021-05-09 07:09:50.604314+00:00,2004025877603.0
104,2005020691295.0,54140.0,1.0,56034.0,2021-03-17 10:24:25.135414+00:00,2004025892645.0
105,2005020662021.0,1000000.0,3.0,393000.0,2021-02-13 06:39:57.391587+00:00,2004025893232.0
106,2005020691300.0,54140.0,1.0,56034.0,2021-03-17 10:25:16.771554+00:00,2004025892645.0
107,2005020691302.0,54355.0,1.0,56257.0,2021-03-17 10:25:23.335259+00:00,2004025892645.0
108,2005020691304.0,54140.0,1.0,56034.0,2021-03-17 10:26:08.795290+00:00,2004025892645.0
109,2005020691306.0,54140.0,1.0,56034.0,2021-03-17 10:28:16.310775+00:00,2004025892645.0
110,2005020691307.0,54140.0,1.0,56034.0,2021-03-17 10:28:40.299397+00:00,2004025892645.0
111,2005020819254.0,1500000.0,,355000.0,2021-06-11 03:10:00.032140+00:00,2004026745497.0
112,2005021112499.0,2000000.0,,560000.0,2021-09-16 05:50:50.465423+00:00,2004025877603.0
113,2005020691318.0,54731.0,,56646.0,2021-03-17 10:36:03.438721+00:00,2004025892645.0
114,2005020712291.0,538011.0,3.0,200000.0,2021-04-06 09:10:43.041847+00:00,2004026214646.0
115,2005020691298.0,54355.0,1.0,56257.0,2021-03-17 10:24:29.337894+00:00,2004025892645.0
116,2005020662792.0,,,115000.0,2021-02-14 07:36:59.682873+00:00,2004025631947.0
117,2005021598693.0,105842.0,3.0,41000.0,2021-12-03 21:07:04.318168+00:00,2004026545972.0
118,2005020638605.0,2500000.0,6.0,566000.0,2021-01-16 02:16:24.303510+00:00,2004025726441.0
119,2005022086448.0,105842.0,3.0,39000.0,2022-02-10 02:00:26.368845+00:00,2004026275326.0
120,2005020666707.0,400000.0,4.0,120000.0,2021-02-18 09:46:14.334795+00:00,2004025631947.0
121,2005020751020.0,1000000.0,3.0,413000.0,2021-05-05 04:39:38.135617+00:00,2004025806390.0
122,2005020781560.0,400000.0,3.0,157000.0,2021-05-24 09:12:18.267958+00:00,2004025658398.0
123,2005020680092.0,1000000.0,6.0,226000.0,2021-03-05 09:31:43.060281+00:00,
124,2005020791352.0,22000.0,1.0,23136.0,2021-05-29 09:11:10.129698+00:00,2004026291577.0
125,2005020751027.0,500000.0,2.0,280000.0,2021-05-05 04:39:38.759841+00:00,2004025724999.0
126,2005020751022.0,1000000.0,3.0,413000.0,2021-05-05 04:39:38.196703+00:00,2004025806390.0
127,2005020671691.0,1700000.0,6.0,385000.0,2021-02-24 16:17:43.524706+00:00,2004025905571.0
128,2005020751024.0,1000000.0,3.0,413000.0,2021-05-05 04:39:38.681013+00:00,2004025806390.0
